Name          Position  Team   GP     G      A      PIM    SOG    GWG    P      P/G    PCT
Horton        RW        BOS    43     13     9      22     114    1      22     0.51   11.40 
McGinn        LW        COL    47     11     11     26     128    2      22     0.47   8.59 
Raymond       LW        VAN    46     10     12     16     79     1      22     0.48   12.66 
Edler         D         VAN    45     8      14     37     113    0      22     0.49   7.08 
Bouwmeester   D         CGY    47     7      15     22     79     0      22     0.47   8.86 
Doughty       D         LA     48     6      16     36     114    0      22     0.46   5.26 
Carlson       D         WSH    48     6      16     18     97     0      22     0.46   6.19 
Johansson     C         WSH    34     6      16     4      40     1      22     0.65   15.00 
Wideman       D         CGY    46     6      16     12     94     1      22     0.48   6.38 
Ehrhoff       D         BUF    47     5      17     34     102    2      22     0.47   4.90 
Carle         D         TB     48     5      17     4      66     0      22     0.46   7.58 
Tyutin        D         CBJ    48     4      18     28     56     1      22     0.46   7.14 
Grabner       RW        NYI    45     16     5      12     108    3      21     0.47   14.81 
Matthias      C         FLA    48     14     7      16     106    1      21     0.44   13.21 
Vermette      C         PHX    48     13     8      36     91     3      21     0.44   14.29 
Heatley       RW        MIN    36     11     10     8      83     1      21     0.58   13.25 
Fisher        C         NSH    38     10     11     27     68     0      21     0.55   14.71 
Palmieri      RW        ANA    42     10     11     9      92     5      21     0.50   10.87 
Cooke         LW        PIT    48     8      13     36     61     1      21     0.44   13.11 
McDonald      C         STL    37     7      14     16     86     2      21     0.57   8.14 
Zotto         D         NYR    46     3      18     18     81     0      21     0.46   3.70 
Mitchell      C         COL    47     10     10     18     72     1      20     0.43   13.89 
Burns         RW        SJ     30     9      11     20     81     0      20     0.67   11.11 
Hemsky        RW        EDM    38     9      11     16     82     1      20     0.53   10.98 
MacArthur     LW        TOR    40     8      12     26     62     1      20     0.50   12.90 
Pouliot       LW        TB     34     8      12     15     60     1      20     0.59   13.33 
Seabrook      D         CHI    47     8      12     23     65     1      20     0.43   12.31 
Bouchard      C         MIN    43     8      12     8      71     2      20     0.47   11.27 
Ward          RW        WSH    39     8      12     12     52     1      20     0.51   15.38 
Zajac         C         NJ     48     7      13     22     82     1      20     0.42   8.54 
Boyle         D         SJ     46     7      13     27     97     0      20     0.43   7.22 
Zibanejad     C         OTT    42     7      13     6      90     0      20     0.48   7.78 
